工作Id,工作名字,公司Id,公司名字,公司福利,薪资8104092,行政经理/专员,515123,广远星空（中国）有限公司,[],8k-12k
7987494,Java开发工程师,752543,北京亚格斯科技发展有限公司,[],14k-17k
6887042,python开发工程师（应届亦可）,206460,威讯柏睿数据科技（北京）有限公司,['股票期权', '专项奖金', '带薪年假', '弹性工作'],10k-20k
8111598,高级销售经理（企业客户）,741,北京美餐巧达科技有限公司,['弹性工作', '扁平管理', '带薪年假', '股票期权'],10k-15k
7803839,java开发工程师（北京）,121946553,南京华飞数据技术有限公司,[],8k-15k
8077165,销售经理,39436,上海微钉科技有限公司,['技能培训', '年底双薪', '节日礼物', '绩效奖金'],15k-25k
8055069,java开发工程师(B轮互联网独角兽 非外包),22666,北京云动数字媒体技术有限公司,['行业领先', '扁平化管理', '学习型组织', '发展空间大'],15k-28k
8127999,成本会计,120486724,深圳星恋文化传媒有限公司,[],8k-15k
8010593,测试工程师,67197,深圳开思时代科技有限公司,['节日礼物', '年底双薪', '股票期权', '扁平管理'],15k-25k
8005170,ios高级开发工程师,39577,瞭望网(北京)文化传媒有限公司,['年底双薪', '带薪年假', '绩效奖金', '年终分红'],20k-30k
8010421,PCB工程师,86106712,优镓科技（北京）有限公司,[],8k-15k
8026657,高级web前端开发工程师 （内部岗位）(MJ000050),50337,杭州今元标矩科技有限公司,['准独角兽', '股票期权', '五险一金', '弹性工作'],15k-25k
7703578,web前端开发工程师,97989,遍享信息技术（上海）有限公司,['节日礼物', '年底双薪', '专项奖金', '带薪年假'],12k-18k
8130990,售前专员【双休+互联网+稳定平台】,42720,北京瑞达恒建筑咨询有限公司广州分公司,['年底双薪', '带薪年假', '年度旅游', '定期体检'],6k-11k
8130940,置业顾问,120972225,广东合富房地产置业有限公司天河兴盛路营业部,[],3k-5k
7263714,商务助理,147696,成都远成伟业信息技术有限公司,['绩效奖金', '年度旅游', '节日礼物', '美女多'],4k-6k
7987494,Java开发工程师,752543,北京亚格斯科技发展有限公司,[],14k-17k
6887042,python开发工程师（应届亦可）,206460,威讯柏睿数据科技（北京）有限公司,['股票期权', '专项奖金', '带薪年假', '弹性工作'],10k-20k
8111598,高级销售经理（企业客户）,741,北京美餐巧达科技有限公司,['弹性工作', '扁平管理', '带薪年假', '股票期权'],10k-15k
7803839,java开发工程师（北京）,121946553,南京华飞数据技术有限公司,[],8k-15k
8077165,销售经理,39436,上海微钉科技有限公司,['技能培训', '年底双薪', '节日礼物', '绩效奖金'],15k-25k
8055069,java开发工程师(B轮互联网独角兽 非外包),22666,北京云动数字媒体技术有限公司,['行业领先', '扁平化管理', '学习型组织', '发展空间大'],15k-28k
