date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2021-01-18,3.42,3.49,3.45,3.41,71491.0,0.02,0.58,3.402,3.498,3.623,81656.34,90426.4,88078.38,0.93
2021-01-15,3.33,3.43,3.43,3.33,68176.32,0.08,2.39,3.404,3.531,3.643,82281.64,92191.8,88098.35,0.89
2021-01-14,3.31,3.38,3.35,3.26,81677.16,0.03,0.9,3.424,3.563,3.667,81108.23,93212.97,89243.26,1.06
2021-01-13,3.44,3.45,3.32,3.28,125865.26,-0.14,-4.05,3.456,3.601,3.693,92279.74,94167.52,88301.91,1.64
2021-01-12,3.44,3.52,3.46,3.42,61071.94,0.0,0.0,3.528,3.644,3.725,86056.5,90519.05,85066.5,0.8
2021-01-11,3.54,3.59,3.46,3.45,74617.5,-0.07,-1.98,3.594,3.667,3.749,99196.46,90757.42,84713.93,0.97
2021-01-08,3.53,3.6,3.53,3.48,62309.29,0.02,0.57,3.658,3.696,3.771,102101.96,94047.07,86904.39,0.81
2021-01-07,3.67,3.68,3.51,3.47,137534.7,-0.17,-4.62,3.702,3.707,3.793,105317.71,99258.71,87857.67,1.79
2021-01-06,3.75,3.76,3.68,3.67,94749.06,-0.11,-2.9,3.746,3.732,3.818,96055.29,92987.84,86991.74,1.23
2021-01-05,3.75,3.81,3.79,3.68,126771.76,0.01,0.27,3.76,3.74,3.839,94981.6,92575.54,90246.47,1.65
2021-01-04,3.75,3.79,3.78,3.75,89145.0,0.03,0.8,3.74,3.748,3.862,82318.37,85730.36,91028.63,1.16
2020-12-31,3.73,3.77,3.75,3.7,78388.02,0.02,0.54,3.734,3.754,3.887,85992.17,84004.89,101630.55,1.02
2020-12-30,3.74,3.77,3.73,3.7,91222.63,-0.02,-0.53,3.712,3.77,3.907,93199.72,85273.55,105691.68,1.19
2020-12-29,3.7,3.81,3.75,3.69,89380.61,0.06,1.63,3.718,3.785,3.93,89920.38,82436.3,112776.53,1.16
2020-12-28,3.76,3.77,3.69,3.67,63455.61,-0.06,-1.6,3.72,3.806,3.947,90169.47,79613.95,113509.5,0.83
2020-12-25,3.65,3.8,3.75,3.63,107514.0,0.11,3.02,3.756,3.831,3.967,89142.35,78670.45,116959.52,1.4
2020-12-24,3.76,3.76,3.64,3.6,114425.74,-0.12,-3.19,3.774,3.845,3.987,82017.61,79761.71,120026.12,1.49
2020-12-23,3.74,3.79,3.76,3.73,74825.92,0.0,0.0,3.828,3.878,4.01,77347.38,76456.63,123313.55,0.97
2020-12-22,3.87,3.88,3.76,3.73,90626.09,-0.11,-2.84,3.852,3.903,4.027,74952.22,80995.64,133201.09,1.18
2020-12-21,3.85,3.91,3.87,3.83,58320.0,0.03,0.78,3.892,3.938,4.041,69058.43,87917.4,134282.57,0.76
2020-12-18,3.9,3.93,3.84,3.84,71890.3,-0.07,-1.79,3.906,3.975,4.049,68198.54,96326.9,137669.21,0.94
