date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2021-01-18,5.54,5.63,5.58,5.5,34218.39,0.04,0.72,5.438,5.69,6.183,58448.38,70632.49,65370.4,0.7
2021-01-15,5.31,5.6,5.54,5.29,66601.94,0.21,3.94,5.422,5.775,6.265,70277.99,79473.31,65919.36,1.37
2021-01-14,5.26,5.43,5.33,5.22,41662.0,0.04,0.76,5.474,5.905,6.358,72560.47,81606.36,65329.68,0.86
2021-01-13,5.46,5.48,5.29,5.25,73753.36,-0.16,-2.94,5.586,6.017,6.462,82290.27,81391.03,65933.55,1.51
2021-01-12,5.5,5.7,5.45,5.4,76006.23,-0.05,-0.91,5.78,6.14,6.569,80809.7,78911.47,64125.66,1.56
2021-01-11,5.77,5.84,5.5,5.44,93366.4,-0.3,-5.17,5.942,6.238,6.672,82816.59,75806.88,63944.38,1.92
2021-01-08,6.0,6.02,5.8,5.68,78014.37,-0.09,-1.53,6.128,6.359,6.777,88668.63,70827.3,61926.29,1.6
2021-01-07,6.25,6.25,5.89,5.85,90310.97,-0.37,-5.91,6.336,6.439,6.873,90652.24,69413.5,60791.72,1.85
2021-01-06,6.25,6.29,6.26,6.0,66350.55,0.0,0.0,6.448,6.531,6.97,80491.78,63933.93,59324.95,1.36
2021-01-05,6.45,6.45,6.26,6.15,86040.66,-0.17,-2.64,6.5,6.591,7.061,77013.24,63138.29,59536.83,1.77
2021-01-04,6.7,6.83,6.43,6.37,122626.59,-0.41,-5.99,6.534,6.676,7.15,68797.16,60108.32,58610.2,2.52
2020-12-31,6.49,6.97,6.84,6.41,87932.44,0.39,6.05,6.59,6.755,7.236,52985.97,52365.4,55242.34,1.81
2020-12-30,6.55,6.55,6.45,6.37,39508.68,-0.07,-1.07,6.542,6.81,7.301,48174.76,49053.0,56048.95,0.81
2020-12-29,6.5,6.64,6.52,6.43,48957.84,0.09,1.4,6.614,6.906,7.386,47376.08,50476.07,64270.18,1.01
2020-12-28,6.68,6.72,6.43,6.43,44960.25,-0.28,-4.17,6.682,6.998,7.457,49263.35,49339.85,72172.14,0.92
2020-12-25,6.64,6.82,6.71,6.51,43570.64,0.11,1.67,6.818,7.106,7.507,51419.48,52081.89,72305.68,0.89
