date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2021-01-18,43.99,44.88,43.97,43.45,431480.03,-0.17,-0.39,44.696,43.681,41.285,643475.59,602976.19,523147.17,2.13
2021-01-15,44.69,45.25,44.14,43.14,504596.31,-0.51,-1.14,44.478,43.415,41.028,680123.22,619350.18,516781.59,2.49
2021-01-14,46.05,46.88,44.65,44.4,668929.06,-1.75,-3.77,44.26,43.088,40.727,679253.28,669598.86,510051.55,3.3
2021-01-13,44.89,47.88,46.4,44.89,969650.06,2.08,4.69,43.88,42.403,40.434,646666.02,631740.51,488322.29,4.78
2021-01-12,42.38,44.48,44.32,41.7,642722.5,1.44,3.36,43.01,41.469,40.059,551211.48,556954.26,454420.62,3.17
2021-01-11,43.25,44.51,42.88,42.27,614718.19,-0.17,-0.4,42.666,40.72,39.758,562476.79,539103.62,433333.4,3.03
2021-01-08,42.81,43.68,43.05,42.49,500246.59,0.3,0.7,42.352,40.244,39.533,558577.14,511355.66,418206.29,2.47
2021-01-07,42.01,43.07,42.75,41.8,505992.75,0.7,1.67,41.916,39.836,39.281,659944.44,492207.64,403511.06,2.5
2021-01-06,42.55,43.18,42.05,41.6,492377.38,-0.55,-1.29,40.926,39.469,39.029,616814.99,473449.83,390624.16,2.43
2021-01-05,40.92,43.5,42.6,40.81,699049.06,1.29,3.12,39.928,39.139,38.853,562697.03,461601.23,373532.35,3.45
2021-01-04,41.4,41.5,41.31,40.55,595219.94,0.44,1.08,38.774,38.888,38.646,515730.45,443318.15,347858.77,2.94
2020-12-31,38.05,41.48,40.87,37.9,1007083.06,3.07,8.12,38.136,38.64,38.516,464134.17,414213.01,331557.33,4.97
2020-12-30,37.2,38.04,37.8,36.7,290345.53,0.74,2.0,37.756,38.366,38.441,324470.85,350504.25,297224.0,1.43
2020-12-29,37.01,37.55,37.06,36.85,221787.55,0.23,0.62,38.012,38.464,38.497,330084.66,344904.07,296781.81,1.09
2020-12-28,38.0,38.02,36.83,36.63,464216.19,-1.29,-3.38,38.35,38.648,38.594,360505.44,351886.99,305050.87,2.29
2020-12-25,38.75,38.78,38.12,37.6,337238.53,-0.85,-2.18,39.002,38.796,38.664,370905.85,327563.18,300824.4,1.66
2020-12-24,39.13,39.93,38.97,38.87,308766.44,-0.11,-0.28,39.144,38.822,38.673,364291.84,325056.91,297441.54,1.52
2020-12-23,38.85,39.15,39.08,38.22,318414.59,0.33,0.85,38.976,38.725,38.631,376537.64,314814.48,296567.14,1.57
2020-12-22,39.97,40.31,38.75,38.72,373891.44,-1.34,-3.34,38.916,38.588,38.597,359723.47,307798.5,300294.18,1.85
2020-12-21,38.83,40.33,40.09,38.64,516218.25,1.26,3.25,38.946,38.567,38.604,343268.55,285463.47,321603.21,2.55
2020-12-18,38.48,39.23,38.83,38.11,304168.47,0.7,1.84,38.59,38.404,38.654,284220.51,252399.38,314241.09,1.5
2020-12-17,38.53,38.57,38.13,37.5,369995.47,-0.65,-1.68,38.5,38.392,38.759,285821.99,248901.66,317043.26,1.83
2020-12-16,39.0,39.31,38.78,38.53,234343.73,-0.12,-0.31,38.474,38.516,38.897,253091.32,243943.76,320229.66,1.16
2020-12-15,38.32,39.3,38.9,38.29,291616.81,0.59,1.54,38.26,38.53,39.002,255873.52,248659.55,328505.95,1.44
2020-12-14,38.37,38.37,38.31,37.42,220978.06,-0.07,-0.18,38.188,38.54,39.099,227658.38,258214.75,347368.4,1.09
2020-12-11,38.0,38.84,38.38,37.82,312175.88,0.38,1.0,38.218,38.531,39.293,220578.26,274085.63,363580.35,1.54
2020-12-10,37.47,38.29,38.0,37.16,206342.12,0.29,0.77,38.284,38.523,39.504,211981.33,269826.17,409260.87,1.02
2020-12-09,38.5,38.68,37.71,37.57,248254.72,-0.83,-2.15,38.558,38.536,39.804,234796.19,278319.8,451353.92,1.23
2020-12-08,38.4,38.85,38.54,38.32,150541.14,0.08,0.21,38.8,38.605,39.919,241445.59,292789.86,464825.5,0.74
2020-12-07,38.71,39.08,38.46,38.41,185577.44,-0.25,-0.65,38.892,38.64,40.058,288771.12,357742.96,482820.59,0.92
2020-12-04,39.2,39.35,38.71,38.4,269191.25,-0.66,-1.68,38.844,38.904,40.22,327592.99,376082.79,502261.25,1.33
