date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2021-01-18,5.53,5.61,5.59,5.53,24267.04,0.02,0.36,5.558,5.614,5.771,22802.11,31284.39,56796.44,0.58
2021-01-15,5.51,5.59,5.57,5.51,19766.07,0.04,0.72,5.548,5.647,5.78,23378.28,36164.75,58068.11,0.47
2021-01-14,5.5,5.58,5.53,5.48,20985.76,0.01,0.18,5.56,5.683,5.79,24382.77,40995.97,58622.96,0.5
2021-01-13,5.58,5.58,5.52,5.48,29958.56,-0.06,-1.07,5.578,5.731,5.799,28041.46,46780.28,58532.18,0.71
2021-01-12,5.55,5.62,5.58,5.52,19033.1,0.04,0.72,5.632,5.77,5.809,30993.37,52770.24,57870.29,0.45
2021-01-11,5.63,5.68,5.54,5.54,27147.9,-0.09,-1.6,5.67,5.825,5.813,39766.66,64800.88,57586.8,0.64
2021-01-08,5.62,5.71,5.63,5.57,24788.54,0.01,0.18,5.746,5.879,5.816,48951.21,79727.78,57406.68,0.59
2021-01-07,5.78,5.78,5.62,5.61,39279.2,-0.17,-2.94,5.806,5.899,5.817,57609.17,82289.36,56950.73,0.93
2021-01-06,5.75,5.81,5.79,5.66,44718.11,0.02,0.35,5.884,5.926,5.819,65519.1,85167.55,56076.72,1.06
2021-01-05,5.9,5.9,5.77,5.74,62899.57,-0.15,-2.53,5.908,5.92,5.816,74547.11,84551.21,54574.88,1.49
2021-01-04,5.92,5.93,5.92,5.84,73070.65,-0.01,-0.17,5.98,5.928,5.815,89835.1,82308.49,52304.09,1.73
2020-12-31,5.97,6.03,5.93,5.88,68078.32,-0.08,-1.33,6.012,5.913,5.81,110504.34,79971.47,50017.14,1.62
2020-12-30,5.88,6.08,6.01,5.86,78828.84,0.1,1.69,5.992,5.897,5.808,106969.56,76249.95,48036.75,1.87
2020-12-29,6.07,6.09,5.91,5.86,89858.15,-0.22,-3.59,5.968,5.867,5.802,104815.99,70284.08,45200.92,2.13
2020-12-28,6.08,6.18,6.13,5.99,139339.53,0.05,0.82,5.932,5.847,5.8,94555.3,62970.35,41747.49,3.31
2020-12-25,5.82,6.19,6.08,5.79,176416.84,0.25,4.29,5.876,5.801,5.785,74781.88,50372.72,36162.89,4.19
2020-12-24,5.9,5.91,5.83,5.77,50404.43,-0.06,-1.02,5.814,5.752,5.772,49438.6,35085.59,29221.0,1.2
2020-12-23,5.72,5.99,5.89,5.72,68061.02,0.16,2.79,5.802,5.735,5.775,45530.33,31612.1,28988.35,1.61
