date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2021-01-18,9.5,9.5,9.09,8.93,51686.67,0.31,3.53,8.826,9.443,9.921,42370.91,57198.71,65798.57,1.89
2021-01-15,8.55,8.91,8.78,8.5,38537.15,0.28,3.29,8.812,9.639,9.942,47741.37,60562.65,64408.58,1.41
2021-01-14,8.68,8.71,8.5,8.45,31236.0,-0.22,-2.52,8.998,9.824,9.983,55703.14,64864.93,64414.22,1.14
2021-01-13,9.05,9.13,8.72,8.63,49645.73,-0.32,-3.54,9.38,10.038,10.044,63401.74,69949.54,64450.82,1.81
2021-01-12,8.94,9.37,9.04,8.83,40749.0,0.02,0.22,9.71,10.171,10.109,67654.12,71610.38,63800.14,1.49
2021-01-11,9.72,9.79,9.02,8.96,78538.98,-0.69,-7.11,10.06,10.336,10.162,72026.52,76306.38,63386.24,2.87
2021-01-08,10.3,10.3,9.71,9.68,78346.0,-0.7,-6.72,10.466,10.509,10.216,73383.92,79682.28,61406.99,2.86
2021-01-07,10.3,10.64,10.41,10.1,69729.0,0.04,0.39,10.65,10.531,10.243,74026.72,77230.28,60214.09,2.55
2021-01-06,10.76,10.8,10.37,10.26,70907.6,-0.42,-3.89,10.696,10.52,10.219,76497.33,77254.98,58700.64,2.59
2021-01-05,11.0,11.0,10.79,10.7,62611.0,-0.26,-2.35,10.632,10.471,10.209,75566.65,74690.52,56788.31,2.29
2021-01-04,10.69,11.2,11.05,10.64,85326.0,0.42,3.95,10.612,10.399,10.193,80586.25,74398.42,55398.11,3.12
2020-12-31,10.73,11.06,10.63,10.63,81560.0,-0.01,-0.09,10.552,10.245,10.161,85980.63,68254.52,53034.93,2.98
2020-12-30,10.1,10.8,10.64,10.07,82082.07,0.59,5.87,10.412,10.141,10.154,80433.83,63963.52,51326.33,3.0
2020-12-29,10.6,10.7,10.05,10.04,66254.17,-0.64,-5.99,10.344,10.05,10.165,78012.62,58952.11,50777.78,2.42
2020-12-28,10.75,11.03,10.69,10.58,87709.0,-0.06,-0.56,10.31,10.046,10.215,73814.39,55989.89,50711.02,3.2
2020-12-25,10.0,10.78,10.75,9.89,112297.93,0.82,8.26,10.186,9.988,10.217,68210.59,50466.09,50145.49,4.1
2020-12-24,10.28,10.29,9.93,9.89,53826.0,-0.37,-3.59,9.938,9.923,10.218,50528.4,43131.7,47516.6,1.97
2020-12-23,10.03,10.5,10.3,10.0,69976.0,0.42,4.25,9.87,9.955,10.256,47493.2,43197.9,47946.65,2.56
2020-12-22,10.09,10.25,9.88,9.85,45263.0,-0.19,-1.89,9.756,9.917,10.282,39891.6,40146.3,48995.41,1.65
2020-12-21,9.52,10.27,10.07,9.52,59690.0,0.56,5.89,9.782,9.947,10.351,38165.4,38886.1,52448.55,2.18
2020-12-18,9.71,9.75,9.51,9.41,23887.0,-0.08,-0.83,9.79,9.987,10.403,32721.6,36397.8,57016.27,0.87
2020-12-17,9.86,9.86,9.59,9.34,38650.0,-0.14,-1.44,9.908,10.076,10.486,35735.0,37815.34,66810.86,1.41
2020-12-16,10.1,10.15,9.73,9.72,31968.0,-0.28,-2.8,10.04,10.167,10.548,38902.6,38689.14,75951.44,1.17
2020-12-15,10.1,10.13,10.01,9.8,36632.0,-0.1,-0.99,10.078,10.28,10.569,40401.0,42603.44,77510.84,1.34
2020-12-14,10.23,10.44,10.11,10.04,32471.0,0.01,0.1,10.112,10.384,10.53,39606.8,45432.14,82167.06,1.19
2020-12-11,10.3,10.47,10.1,9.89,38954.0,-0.15,-1.46,10.184,10.446,10.534,40074.0,49824.9,82244.96,1.42
2020-12-10,9.98,10.53,10.25,9.85,54488.0,0.33,3.33,10.244,10.513,10.522,39895.69,51901.5,81712.21,1.99
2020-12-09,10.28,10.35,9.92,9.92,39460.0,-0.26,-2.55,10.294,10.556,10.504,38475.69,52695.4,81226.26,1.44
2020-12-08,10.42,10.64,10.18,10.17,32661.0,-0.29,-2.77,10.482,10.646,10.518,44805.89,57844.51,81273.66,1.19
2020-12-07,10.4,10.71,10.47,10.29,34807.0,0.07,0.67,10.656,10.754,10.516,51257.49,66011.0,81707.96,1.27
2020-12-04,10.4,10.66,10.4,10.24,38062.43,-0.1,-0.95,10.708,10.819,10.499,59575.79,77634.73,82377.26,1.39
2020-12-03,10.72,10.88,10.5,10.5,47388.0,-0.36,-3.31,10.782,10.896,10.489,63907.3,95806.38,82805.8,1.73
2020-12-02,11.03,11.41,10.86,10.73,71111.0,-0.19,-1.72,10.818,10.929,10.471,66915.1,113213.74,83200.66,2.6
2020-12-01,10.69,11.11,11.05,10.5,64919.0,0.32,2.98,10.81,10.858,10.426,70883.14,112418.24,83032.31,2.37
2020-11-30,10.72,11.1,10.73,10.4,76398.52,-0.04,-0.37,10.852,10.676,10.377,80764.52,118901.99,84637.21,2.79
2020-11-27,10.63,10.79,10.77,10.39,59720.0,0.09,0.84,10.93,10.622,10.335,95693.67,114665.03,85065.8,2.18
2020-11-26,10.98,10.99,10.68,10.5,62427.0,-0.14,-1.29,11.01,10.531,10.269,127705.46,111522.93,86308.35,2.28
2020-11-25,11.3,11.3,10.82,10.77,90951.16,-0.44,-3.91,11.04,10.451,10.216,159512.38,109757.13,87221.9,3.32
2020-11-24,11.11,11.37,11.26,10.93,114325.9,0.14,1.26,10.906,10.389,10.128,153953.35,104702.82,84429.65,4.18
2020-11-23,11.22,11.65,11.12,10.88,151044.31,-0.05,-0.45,10.5,10.278,10.01,157039.46,97404.93,79588.55,5.52
2020-11-20,10.64,11.69,11.17,10.58,219778.95,0.34,3.14,10.314,10.179,9.902,133636.39,87119.8,73206.29,8.03
2020-11-19,10.62,11.17,10.83,10.23,221461.59,0.68,6.7,10.052,10.082,9.781,95340.4,69805.22,63362.19,8.09
2020-11-18,9.45,10.15,10.15,9.45,63156.0,0.92,9.97,9.862,10.013,9.688,60001.89,53187.59,53478.42,2.31
2020-11-17,10.18,10.67,9.23,9.17,129756.43,-0.96,-9.42,9.872,9.993,9.635,55452.29,53646.39,52382.37,4.74
2020-11-16,9.86,10.25,10.19,9.78,34029.0,0.33,3.35,10.056,10.077,9.639,37770.4,50372.43,46916.2,1.24
2020-11-13,9.83,9.95,9.86,9.67,28299.0,-0.02,-0.2,10.044,10.047,9.593,40603.2,55466.57,46705.1,1.03
2020-11-12,10.15,10.19,9.88,9.8,44769.0,-0.32,-3.14,10.112,10.006,9.568,44270.03,61093.77,47069.16,1.64
2020-11-11,10.25,10.49,10.2,10.01,40408.0,0.05,0.49,10.164,9.981,9.548,46373.29,64686.67,46983.46,1.48
2020-11-10,10.14,10.38,10.15,9.9,41347.0,0.02,0.2,10.114,9.866,9.517,51840.49,64156.47,47499.51,1.51
2020-11-09,10.19,10.3,10.13,10.08,48193.0,-0.07,-0.69,10.098,9.742,9.48,62974.46,61772.17,48226.94,1.76
