date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-31,4.29,4.34,4.3,4.26,210225.39,0.01,0.23,4.296,4.322,4.278,193604.26,260142.14,350364.42,0.61
2020-07-30,4.31,4.34,4.29,4.28,140691.23,-0.03,-0.69,4.296,4.321,4.263,216456.11,268724.59,349889.98,0.41
2020-07-29,4.29,4.34,4.32,4.2,235109.8,0.04,0.94,4.312,4.316,4.245,261301.5,300097.07,350690.73,0.68
2020-07-28,4.3,4.34,4.28,4.26,170058.92,-0.01,-0.23,4.31,4.317,4.221,262235.48,323502.57,343716.08,0.49
2020-07-27,4.24,4.31,4.29,4.22,211935.94,-0.01,-0.23,4.324,4.321,4.198,278700.6,343763.42,339400.24,0.61
2020-07-24,4.32,4.42,4.3,4.17,324484.66,-0.07,-1.6,4.348,4.328,4.174,326680.02,386698.07,335246.04,0.94
2020-07-23,4.3,4.4,4.37,4.21,364918.16,0.06,1.39,4.346,4.313,4.153,320993.07,389370.58,323164.59,1.06
2020-07-22,4.34,4.38,4.31,4.28,239779.73,-0.04,-0.92,4.32,4.297,4.128,338892.65,397264.42,310998.63,0.69
2020-07-21,4.42,4.43,4.35,4.32,252384.5,-0.06,-1.36,4.324,4.281,4.11,384769.66,419839.85,304641.84,0.73
2020-07-20,4.32,4.45,4.41,4.3,451833.06,0.12,2.8,4.318,4.26,4.091,408826.24,438451.55,297941.01,1.31
2020-07-17,4.23,4.34,4.29,4.22,296049.88,0.05,1.18,4.308,4.234,4.071,446716.11,440586.71,279700.26,0.86
2020-07-16,4.3,4.35,4.24,4.23,454416.06,-0.09,-2.08,4.28,4.205,4.058,457748.09,431055.37,268081.15,1.31
2020-07-15,4.35,4.42,4.33,4.27,469164.78,0.01,0.23,4.274,4.173,4.048,455636.2,401284.38,251996.36,1.36
2020-07-14,4.36,4.4,4.32,4.25,372667.41,-0.04,-0.92,4.238,4.124,4.033,454910.04,363929.6,236731.05,1.08
2020-07-13,4.16,4.43,4.36,4.16,641282.44,0.21,5.06,4.202,4.074,4.017,468076.86,335037.06,225126.85,1.85
2020-07-10,4.22,4.27,4.15,4.13,351209.78,-0.06,-1.43,4.16,4.019,4.001,434457.31,283794.02,197723.19,1.02
2020-07-09,4.15,4.23,4.21,4.1,443856.59,0.06,1.45,4.13,3.993,3.996,404362.65,256958.59,184909.69,1.28
2020-07-08,4.08,4.19,4.15,4.02,465534.0,0.08,1.97,4.072,3.959,3.988,346932.57,224732.83,168690.42,1.35
2020-07-07,4.16,4.25,4.14,4.12,438501.5,-0.01,-0.24,4.01,3.938,3.984,272949.15,189443.84,151072.15,1.27
2020-07-06,3.98,4.16,4.15,3.97,473184.66,0.15,3.75,3.946,3.922,3.98,201997.26,157430.47,135257.78,1.37
2020-07-03,3.92,4.03,4.0,3.91,200736.48,0.08,2.04,3.878,3.907,3.975,133130.73,118813.82,116355.41,0.58
2020-07-02,3.84,3.94,3.92,3.82,156706.19,0.08,2.08,3.856,3.91,3.977,109554.54,105106.93,112325.4,0.45
2020-07-01,3.83,3.85,3.84,3.8,95616.94,0.02,0.52,3.846,3.922,3.984,102533.1,102708.34,114266.08,0.28
2020-06-30,3.82,3.84,3.82,3.81,83742.02,0.01,0.26,3.866,3.941,3.994,105938.52,109532.5,120457.07,0.24
2020-06-29,3.89,3.9,3.81,3.78,128852.0,-0.08,-2.06,3.898,3.959,4.0,112863.68,115216.63,121295.29,0.37
2020-06-24,3.88,3.9,3.89,3.87,82855.56,0.02,0.52,3.936,3.982,4.006,104496.9,111652.37,121469.68,0.24
2020-06-23,3.95,3.96,3.87,3.87,121598.99,-0.07,-1.78,3.964,3.998,4.008,100659.31,112860.78,124077.85,0.35
2020-06-22,3.97,4.01,3.94,3.94,112644.02,-0.04,-1.0,3.998,4.016,4.013,102883.58,112648.01,129519.57,0.33
2020-06-19,4.01,4.02,3.98,3.97,118367.83,-0.02,-0.5,4.016,4.029,4.015,113126.47,112700.47,130489.59,0.34
2020-06-18,4.04,4.04,4.0,4.0,87018.12,-0.03,-0.74,4.02,4.038,4.014,117569.58,113085.09,134153.37,0.25
2020-06-17,4.05,4.06,4.03,4.02,63667.6,-0.01,-0.25,4.028,4.042,4.017,118807.84,113897.01,137632.63,0.18
2020-06-16,4.05,4.06,4.04,4.0,132720.34,0.01,0.25,4.032,4.043,4.019,125062.25,119543.88,149806.05,0.38
2020-06-15,4.0,4.04,4.03,3.94,163858.48,0.03,0.75,4.034,4.045,4.024,122412.44,125823.82,159494.34,0.47
2020-06-12,4.01,4.03,4.0,3.98,140583.36,-0.04,-0.99,4.042,4.046,4.032,112274.46,131381.65,186256.84,0.41
2020-06-11,4.05,4.07,4.04,4.02,93209.41,-0.01,-0.25,4.056,4.04,4.034,108600.6,127373.95,191641.16,0.27
2020-06-10,4.05,4.06,4.05,4.01,94939.68,0.0,0.0,4.056,4.029,4.033,108986.18,131286.99,202357.52,0.27
2020-06-09,4.06,4.07,4.05,4.01,119471.29,-0.02,-0.49,4.054,4.017,4.029,114025.51,135294.92,209765.3,0.35
2020-06-08,4.08,4.1,4.07,4.04,113168.58,0.0,0.0,4.056,4.009,4.023,129235.2,146391.12,213790.08,0.33
2020-06-05,4.05,4.08,4.07,4.03,122214.02,0.03,0.74,4.05,4.0,4.016,150488.84,148278.71,219880.7,0.35
2020-06-04,4.05,4.06,4.04,4.01,95137.31,0.0,0.0,4.024,3.99,4.009,146147.3,155221.65,222013.04,0.28
2020-06-03,4.06,4.07,4.04,4.03,120136.35,-0.02,-0.49,4.002,3.992,4.003,153587.8,161368.26,229864.25,0.35
2020-06-02,4.05,4.08,4.06,4.03,195519.75,0.02,0.49,3.98,3.995,3.999,156564.32,180068.22,247244.1,0.57
2020-06-01,3.95,4.05,4.04,3.94,219436.77,0.1,2.54,3.962,4.002,3.986,163547.04,193164.87,244102.8,0.63
2020-05-29,3.92,3.94,3.94,3.91,100506.34,0.01,0.25,3.95,4.017,3.97,146068.57,241132.03,236152.79,0.29
2020-05-28,3.93,3.96,3.93,3.92,132339.8,0.0,0.0,3.956,4.028,3.957,164295.99,255908.36,239567.5,0.38
2020-05-27,3.98,3.98,3.93,3.92,135018.94,-0.04,-1.01,3.982,4.036,3.951,169148.72,273428.05,238417.1,0.39
2020-05-26,3.98,3.99,3.97,3.95,230433.34,-0.01,-0.25,4.01,4.041,3.946,203572.12,284235.69,237544.9,0.67
2020-05-25,3.96,4.0,3.98,3.95,132044.45,0.01,0.25,4.042,4.036,3.941,222782.69,281189.04,231272.46,0.38
2020-05-22,4.06,4.06,3.97,3.97,191643.41,-0.09,-2.22,4.084,4.032,3.937,336195.49,291482.68,230472.78,0.55
2020-05-21,4.06,4.09,4.06,4.03,156603.45,-0.01,-0.25,4.1,4.027,3.934,347520.73,288804.44,229522.66,0.45
2020-05-20,4.12,4.12,4.07,4.03,307135.94,-0.06,-1.45,4.09,4.013,3.928,377707.37,298360.24,234079.6,0.89
2020-05-19,4.21,4.22,4.13,4.11,326486.22,-0.06,-1.43,4.072,4.002,3.918,364899.26,314419.98,228136.4,0.94
2020-05-18,4.31,4.33,4.19,4.16,699108.44,0.14,3.46,4.03,3.97,3.904,339595.38,295040.74,217897.49,2.02
2020-05-15,4.02,4.1,4.05,4.02,248269.61,0.04,1.0,3.98,3.922,3.889,246769.87,231173.55,189194.21,0.72
2020-05-14,3.98,4.02,4.01,3.92,307536.66,0.03,0.75,3.954,3.886,3.883,230088.15,223226.64,183097.78,0.89
2020-05-13,3.92,4.01,3.98,3.9,243095.38,0.06,1.53,3.936,3.865,3.877,219013.11,203406.15,176067.85,0.7
2020-05-12,3.95,3.97,3.92,3.9,199966.8,-0.02,-0.51,3.932,3.85,3.873,263940.69,190854.1,180195.88,0.58
2020-05-11,3.94,3.97,3.94,3.89,234980.92,0.02,0.51,3.91,3.845,3.868,250486.1,181355.89,183666.5,0.68
2020-05-08,3.94,3.95,3.92,3.91,164861.0,0.0,0.0,3.864,3.841,3.867,215577.23,169462.88,194083.4,0.48
2020-05-07,3.96,3.98,3.92,3.91,252161.45,-0.04,-1.01,3.818,3.84,3.867,216365.13,170240.88,215227.45,0.73
2020-05-06,3.97,4.02,3.96,3.91,467733.28,0.15,3.94,3.794,3.842,3.868,187799.19,169798.96,222665.6,1.35
2020-04-30,3.74,3.81,3.81,3.73,132693.84,0.1,2.69,3.768,3.833,3.864,117767.51,141852.83,218933.12,0.38
2020-04-29,3.68,3.72,3.71,3.68,60436.57,0.02,0.54,3.78,3.838,3.866,112225.68,140754.24,233697.94,0.17
2020-04-28,3.81,3.81,3.69,3.61,168800.52,-0.11,-2.9,3.818,3.856,3.871,123348.53,147214.88,250657.45,0.49
2020-04-27,3.85,3.87,3.8,3.79,109331.73,-0.03,-0.78,3.862,3.879,3.876,124116.62,142968.92,266587.61,0.32
2020-04-24,3.88,3.88,3.83,3.83,117574.91,-0.04,-1.03,3.89,3.888,3.872,151798.72,148729.55,276410.33,0.34
2020-04-23,3.9,3.92,3.87,3.86,104984.68,-0.03,-0.77,3.898,3.895,3.87,165938.15,169537.65,289918.65,0.3
2020-04-22,3.88,3.91,3.9,3.87,116050.8,-0.01,-0.26,3.896,3.891,3.865,169282.81,185977.12,302669.9,0.34
2020-04-21,3.9,3.92,3.91,3.85,172640.98,-0.03,-0.76,3.894,3.893,3.857,171081.22,218703.93,315716.7,0.5
2020-04-20,3.89,3.98,3.94,3.86,247742.25,0.07,1.81,3.896,3.893,3.853,161821.23,260214.02,336083.95,0.72
2020-04-17,3.86,3.93,3.87,3.83,188272.02,0.01,0.26,3.886,3.893,3.843,145660.37,275532.25,347724.14,0.54
2020-04-16,3.89,3.89,3.86,3.84,121707.98,-0.03,-0.77,3.892,3.894,3.836,173137.15,296013.4,374881.62,0.35
2020-04-15,3.94,3.94,3.89,3.87,125042.88,-0.03,-0.77,3.886,3.893,3.835,202671.43,326641.64,426300.55,0.36
2020-04-14,3.91,3.94,3.92,3.89,126341.0,0.03,0.77,3.892,3.886,3.817,266326.63,354100.03,441408.87,0.37
2020-04-13,3.85,3.95,3.89,3.84,166937.98,-0.01,-0.26,3.89,3.872,3.799,358606.82,390206.3,457162.35,0.48
2020-04-10,3.86,3.94,3.9,3.8,325655.91,0.07,1.83,3.9,3.856,3.786,405404.13,404091.11,465069.84,0.94
2020-04-09,3.94,3.95,3.83,3.82,269379.38,-0.09,-2.3,3.896,3.844,3.774,418889.66,410299.66,471901.94,0.78
2020-04-08,4.06,4.06,3.92,3.9,443318.88,0.01,0.26,3.9,3.838,3.77,450611.86,419362.67,487491.15,1.28
2020-04-03,3.97,3.97,3.91,3.9,587741.94,-0.03,-0.76,3.88,3.82,3.758,441873.43,412729.47,495303.72,1.7
2020-04-02,3.91,3.94,3.94,3.86,400924.53,0.06,1.55,3.854,3.812,3.754,421805.78,411953.88,513277.86,1.16
2020-04-01,3.85,3.95,3.88,3.85,393083.56,0.03,0.78,3.812,3.792,3.757,402778.09,419916.03,568572.66,1.14
2020-03-31,3.82,3.86,3.85,3.78,427990.38,0.03,0.79,3.792,3.777,3.762,401709.66,453749.84,609864.75,1.24
2020-03-30,3.75,3.83,3.82,3.75,399626.75,0.04,1.06,3.776,3.777,3.769,388113.49,525959.46,691722.85,1.16
2020-03-27,3.76,3.84,3.78,3.73,487403.66,0.05,1.34,3.76,3.747,3.769,383585.51,528717.7,752639.84,1.41
2020-03-26,3.78,3.78,3.73,3.71,305786.12,-0.05,-1.32,3.77,3.726,3.754,402101.97,524118.4,776171.58,0.88
2020-03-25,3.82,3.83,3.78,3.74,387741.38,0.01,0.27,3.772,3.715,3.741,437053.97,526048.57,798215.73,1.12
2020-03-24,3.78,3.81,3.77,3.71,360009.53,0.03,0.8,3.762,3.704,3.726,505790.02,533504.22,828236.76,1.04
2020-03-23,3.75,3.79,3.74,3.72,376986.84,-0.09,-2.35,3.778,3.702,3.704,663805.44,555619.63,828381.37,1.09
2020-03-20,3.8,3.87,3.83,3.75,579986.0,0.09,2.41,3.734,3.696,3.687,673849.9,577877.97,827167.21,1.68
2020-03-19,3.73,3.77,3.74,3.65,480546.12,0.01,0.27,3.682,3.695,3.665,646134.82,614601.84,817455.01,1.39
2020-03-18,3.78,3.87,3.73,3.68,731421.62,-0.12,-3.12,3.658,3.722,3.65,615043.16,717229.29,818158.8,2.12
2020-03-17,3.86,3.87,3.85,3.66,1150086.62,0.33,9.38,3.646,3.746,3.631,561218.42,765979.66,794688.52,3.33
2020-03-16,3.58,3.65,3.52,3.51,427209.12,-0.05,-1.4,3.626,3.76,3.606,447433.82,857486.23,748444.07,1.24
2020-03-13,3.49,3.6,3.57,3.45,441410.62,-0.05,-1.38,3.658,3.791,3.598,481906.04,976561.98,739516.92,1.28
2020-03-12,3.63,3.67,3.62,3.6,325087.81,-0.05,-1.36,3.708,3.782,3.584,583068.86,1028224.76,725622.41,0.94
2020-03-11,3.76,3.76,3.67,3.65,462297.91,-0.08,-2.13,3.786,3.767,3.569,819415.42,1070382.9,720309.39,1.34
2020-03-10,3.61,3.79,3.75,3.6,581163.62,0.07,1.9,3.846,3.748,3.554,970740.91,1122969.3,705656.72,1.68
2020-03-09,3.74,3.83,3.68,3.67,599570.25,-0.14,-3.67,3.894,3.706,3.534,1267538.64,1101143.11,686602.61,1.73
2020-03-06,3.91,3.96,3.82,3.8,947224.69,-0.19,-4.74,3.924,3.677,3.519,1471217.91,1076456.46,671875.07,2.74
2020-03-05,3.99,4.08,4.01,3.86,1506820.62,0.04,1.01,3.856,3.635,3.495,1473380.66,1020308.19,639596.96,4.36
2020-03-04,3.85,4.04,3.97,3.85,1218925.38,-0.02,-0.5,3.748,3.577,3.463,1321350.38,919088.3,597106.22,3.53
2020-03-03,3.93,4.05,3.99,3.73,2065152.25,0.16,4.18,3.65,3.515,3.42,1275197.69,823397.38,548292.24,5.97
2020-03-02,3.56,3.83,3.83,3.5,1617966.62,0.35,10.06,3.518,3.451,3.375,934747.58,639401.9,458803.57,4.68
2020-02-28,3.4,3.59,3.48,3.37,958038.44,0.01,0.29,3.43,3.404,3.335,681695.01,502471.86,411391.44,2.77
2020-02-27,3.5,3.56,3.47,3.42,746669.19,-0.01,-0.29,3.414,3.386,3.328,567235.71,423020.07,376152.38,2.16
2020-02-26,3.3,3.56,3.48,3.29,988161.94,0.15,4.5,3.406,3.371,3.325,516826.23,370235.88,347034.76,2.86
2020-02-25,3.33,3.36,3.33,3.29,362901.69,-0.06,-1.77,3.38,3.359,3.322,371597.06,288344.15,305169.9,1.05
2020-02-24,3.41,3.45,3.39,3.37,352703.78,-0.01,-0.29,3.384,3.362,3.33,344056.23,272062.1,294988.45,1.02
2020-02-21,3.44,3.44,3.4,3.39,385741.94,-0.03,-0.88,3.378,3.361,3.335,323248.72,267293.69,311665.01,1.12
2020-02-20,3.36,3.44,3.43,3.35,494621.81,0.08,2.39,3.358,3.355,3.335,278804.43,258885.74,301488.78,1.43
2020-02-19,3.34,3.38,3.35,3.32,262016.09,0.0,0.0,3.336,3.349,3.336,223645.52,275124.14,284221.04,0.76
2020-02-18,3.35,3.37,3.35,3.33,225197.53,-0.01,-0.3,3.338,3.325,3.344,205091.23,273187.1,282631.91,0.65
2020-02-17,3.3,3.36,3.36,3.29,248666.23,0.06,1.82,3.34,3.299,3.35,200067.98,278205.24,278790.39,0.72
2020-02-14,3.31,3.33,3.3,3.28,163520.47,-0.02,-0.6,3.344,3.266,3.357,211338.66,320311.01,279570.22,0.47
2020-02-13,3.35,3.38,3.32,3.3,218827.3,-0.04,-1.19,3.352,3.269,3.367,238967.06,329284.69,286544.69,0.63
2020-02-12,3.35,3.37,3.36,3.33,169244.62,0.0,0.0,3.362,3.278,3.375,326602.76,323833.63,308646.27,0.49
2020-02-11,3.37,3.41,3.36,3.35,200081.27,-0.02,-0.59,3.312,3.285,3.382,341282.97,321995.65,331493.74,0.58
2020-02-10,3.32,3.42,3.38,3.31,305019.62,0.04,1.2,3.258,3.298,3.383,356342.51,317914.8,353080.03,0.88
2020-02-07,3.33,3.37,3.34,3.3,301662.47,-0.03,-0.89,3.188,3.308,3.385,429283.37,356036.34,353147.45,0.87
2020-02-06,3.42,3.42,3.37,3.27,657005.81,0.26,8.36,3.186,3.314,3.39,419602.33,344091.82,370625.41,1.9
