date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2021-01-18,6.5,6.57,6.52,6.42,26120.56,0.02,0.31,6.486,6.75,6.917,45312.56,67352.19,83073.61,0.7
2021-01-15,6.35,6.55,6.5,6.3,26930.37,0.15,2.36,6.51,6.837,6.942,49010.68,78675.55,89662.46,0.72
2021-01-14,6.31,6.4,6.35,6.25,30726.06,0.02,0.32,6.556,6.91,6.981,70750.87,86568.4,102531.38,0.82
2021-01-13,6.69,6.75,6.33,6.2,98095.87,-0.4,-5.94,6.732,6.983,7.029,86270.51,89467.88,104433.82,2.63
2021-01-12,6.63,6.82,6.73,6.58,44689.93,0.09,1.35,6.9,7.062,7.045,80199.57,87544.81,100621.46,1.2
2021-01-11,6.68,6.74,6.64,6.6,44611.19,-0.09,-1.34,7.014,7.117,7.039,89391.82,95989.35,99911.11,1.2
2021-01-08,7.12,7.13,6.73,6.51,135631.3,-0.5,-6.92,7.164,7.167,7.04,108340.42,102979.58,99610.35,3.64
2021-01-07,7.16,7.48,7.23,7.15,108324.25,0.06,0.84,7.264,7.177,7.047,102385.92,96533.7,94016.74,2.9
2021-01-06,7.26,7.31,7.17,7.14,67741.16,-0.13,-1.78,7.234,7.156,7.024,92665.24,95624.77,90088.53,1.82
2021-01-05,7.34,7.44,7.3,7.24,90651.22,-0.09,-1.22,7.224,7.116,7.008,94890.06,97654.78,88137.97,2.43
2021-01-04,7.24,7.48,7.39,7.12,139354.19,0.16,2.21,7.22,7.084,6.985,102586.88,98795.03,84868.91,3.74
2020-12-31,7.07,7.41,7.23,7.03,105858.8,0.15,2.12,7.17,7.046,6.96,97618.74,100649.37,79548.79,2.84
2020-12-30,7.13,7.18,7.08,7.0,59720.85,-0.04,-0.56,7.09,7.051,6.943,90681.47,118494.37,75896.46,1.6
2020-12-29,7.25,7.27,7.12,7.07,78865.23,-0.16,-2.2,7.078,7.075,6.936,98584.3,119399.76,74585.1,2.11
2020-12-28,7.1,7.35,7.28,7.06,129135.31,0.14,1.96,7.008,7.028,6.924,100419.51,113698.12,72443.68,3.46
2020-12-25,6.84,7.25,7.14,6.79,114513.5,0.31,4.54,6.948,6.961,6.901,95003.18,103832.87,68222.17,3.07
2020-12-24,6.95,7.02,6.83,6.77,71172.45,-0.19,-2.71,6.922,6.913,6.884,103680.01,96241.12,64513.88,1.91
2020-12-23,6.74,7.02,7.02,6.74,99234.99,0.25,3.69,7.012,6.916,6.881,146307.28,91499.78,62924.24,2.66
2020-12-22,6.99,6.99,6.77,6.71,88041.3,-0.21,-3.01,7.072,6.892,6.87,140215.23,84552.28,61323.7,2.36
2020-12-21,7.07,7.07,6.98,6.92,102053.65,-0.03,-0.43,7.048,6.899,6.879,126976.72,78621.15,59269.88,2.74
2020-12-18,7.06,7.26,7.01,6.96,157897.66,-0.27,-3.71,6.974,6.886,6.882,112662.56,70942.79,57416.29,4.23
2020-12-17,7.6,7.6,7.28,7.23,284308.78,-0.04,-0.55,6.904,6.874,6.88,88802.24,58448.21,56166.76,7.62
2020-12-16,7.0,7.32,7.32,7.0,68774.75,0.67,10.07,6.82,6.835,6.875,36692.28,33298.54,44480.5,1.84
2020-12-15,6.61,6.68,6.65,6.57,21848.78,0.04,0.6,6.712,6.796,6.869,28889.33,29770.43,46344.23,0.59
2020-12-14,6.65,6.68,6.61,6.59,30482.85,-0.05,-0.75,6.75,6.819,6.905,30265.58,31189.25,49627.55,0.82
2020-12-11,6.84,6.86,6.66,6.57,38596.02,-0.2,-2.92,6.798,6.841,6.955,29223.01,32611.47,52051.88,1.03
2020-12-10,6.76,6.88,6.86,6.68,23759.0,0.08,1.18,6.844,6.854,6.991,28094.17,32786.63,51673.48,0.64
2020-12-09,6.85,6.89,6.78,6.74,29760.02,-0.06,-0.88,6.85,6.845,7.018,29904.8,34348.71,52257.03,0.8
2020-12-08,6.89,6.89,6.84,6.8,28730.0,-0.01,-0.15,6.88,6.847,7.042,30651.53,38095.11,52528.31,0.77
2020-12-07,6.87,6.9,6.85,6.78,25270.0,-0.04,-0.58,6.888,6.859,7.072,32112.93,39918.61,54434.92,0.68
2020-12-04,6.97,7.0,6.89,6.85,32951.85,0.0,0.0,6.884,6.878,7.099,35999.93,43889.79,56271.92,0.88
2020-12-03,6.9,6.98,6.89,6.86,32812.15,-0.04,-0.58,6.864,6.885,7.126,37479.09,53885.31,57369.12,0.88
