date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2021-01-15,1.31,1.38,1.37,1.31,996179.88,0.05,3.79,1.34,1.359,1.36,1007294.69,1125699.55,1311680.04,0.45
2021-01-14,1.31,1.34,1.32,1.31,813112.56,0.01,0.76,1.344,1.356,1.361,1044591.96,1349222.19,1287379.79,0.37
2021-01-13,1.33,1.34,1.31,1.3,930860.31,-0.03,-2.24,1.348,1.353,1.366,1099252.73,1326783.83,1280530.03,0.42
2021-01-12,1.32,1.35,1.34,1.29,1359043.0,-0.02,-1.47,1.36,1.358,1.369,1119169.3,1384496.69,1260949.04,0.61
2021-01-11,1.37,1.39,1.36,1.34,937277.69,-0.03,-2.16,1.37,1.365,1.371,1083614.58,1532352.12,1238778.63,0.42
2021-01-08,1.34,1.4,1.39,1.31,1182666.25,0.05,3.73,1.378,1.369,1.374,1244104.42,1580716.86,1213914.48,0.53
2021-01-07,1.38,1.38,1.34,1.32,1086416.38,-0.03,-2.19,1.368,1.363,1.375,1653852.42,1637791.75,1180318.05,0.49
2021-01-06,1.4,1.41,1.37,1.36,1030443.19,-0.02,-1.44,1.358,1.361,1.379,1554314.94,1638053.58,1146856.32,0.46
2021-01-05,1.4,1.43,1.39,1.38,1181269.38,-0.01,-0.71,1.356,1.361,1.381,1649824.08,1609710.18,1119908.86,0.53
2021-01-04,1.32,1.41,1.4,1.32,1739726.88,0.06,4.48,1.36,1.36,1.383,1981089.65,1567680.79,1084616.42,0.78
2020-12-31,1.25,1.35,1.34,1.24,3231406.25,0.05,3.88,1.36,1.36,1.385,1917329.3,1497660.52,1021903.93,1.45
2020-12-30,1.29,1.29,1.29,1.29,588729.0,-0.07,-5.15,1.358,1.366,1.389,1621731.07,1225537.4,891775.32,0.26
2020-12-29,1.42,1.44,1.36,1.34,1507988.88,-0.05,-3.55,1.364,1.378,1.395,1721792.22,1234276.23,923144.79,0.68
2020-12-25,1.44,1.47,1.41,1.39,2837597.25,0.01,0.71,1.366,1.379,1.396,1569596.29,1137401.39,877062.78,2.28
2020-12-24,1.33,1.4,1.4,1.32,1420925.12,0.07,5.26,1.36,1.376,1.395,1154271.94,945205.15,788738.95,1.14
2020-12-23,1.34,1.39,1.33,1.31,1753415.12,0.01,0.76,1.36,1.378,1.397,1077991.74,847112.1,746590.75,1.41
2020-12-22,1.36,1.37,1.32,1.31,1089034.75,-0.05,-3.65,1.374,1.387,1.403,829343.72,722844.36,689765.91,0.88
2020-12-21,1.39,1.39,1.37,1.36,747009.19,-0.01,-0.72,1.392,1.397,1.41,746760.24,655659.06,685912.64,0.6
2020-12-18,1.4,1.41,1.38,1.38,760975.5,-0.02,-1.43,1.392,1.401,1.416,705206.49,630107.54,696677.54,0.61
2020-12-17,1.43,1.44,1.4,1.37,1039524.12,0.0,0.0,1.392,1.406,1.423,736138.37,601552.04,714928.32,0.84
2020-12-16,1.42,1.42,1.4,1.38,510175.03,-0.01,-0.71,1.396,1.409,1.426,616232.46,546147.35,721031.1,0.41
